epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2546.39,0.78124,0.48829,0.01379,0.98424,0.97656,0.98772,0.88535,0.46318,0.20014,0.01129,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,2624.48,0.78688,0.50984,0.01368,0.98311,0.98813,0.9873,0.90089,0.42183,0.1882,0.01037,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,2700.57,0.78007,0.47102,0.01363,0.97367,0.98009,0.98483,0.87498,0.48114,0.21954,0.01179,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,2778.85,0.76243,0.48531,0.01337,0.97094,0.98189,0.98563,0.89466,0.40588,0.19823,0.00984,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,2857.59,0.75743,0.47373,0.01336,0.9729,0.98667,0.98577,0.89823,0.42099,0.18572,0.01042,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,2936.11,0.73669,0.46043,0.01295,0.97839,0.99,0.98855,0.89819,0.40359,0.19404,0.00983,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3014,0.72531,0.44391,0.01271,0.98147,0.98919,0.98651,0.90041,0.39302,0.18207,0.00951,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,3091.94,0.73482,0.45018,0.01281,0.97888,0.98086,0.98111,0.90035,0.40482,0.19823,0.00989,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,3170.51,0.7097,0.45027,0.01245,0.97707,0.98467,0.98704,0.90522,0.39082,0.18706,0.00961,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,3248.87,0.58576,0.23503,0.01509,0.98225,0.98443,0.98607,0.89333,0.43377,0.1893,0.01107,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,3323.82,0.57028,0.22662,0.01483,0.97226,0.97947,0.98278,0.9032,0.40268,0.18103,0.00962,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,3399.75,0.55558,0.21809,0.01452,0.97899,0.98327,0.98094,0.89926,0.40319,0.19774,0.0097,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,3474.7,0.54238,0.21749,0.01404,0.97589,0.98246,0.98611,0.9022,0.3896,0.17202,0.00932,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,3548.77,0.52657,0.21148,0.01361,0.97786,0.99,0.98751,0.90974,0.37456,0.18253,0.00908,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,3623.14,0.51987,0.20084,0.01337,0.98006,0.9816,0.98783,0.90984,0.36932,0.18777,0.00886,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,3697.49,0.49987,0.20766,0.01269,0.97419,0.97735,0.98198,0.90216,0.36776,0.20311,0.00881,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,3771.2,0.49524,0.20158,0.0127,0.97789,0.98616,0.98718,0.90582,0.38333,0.18865,0.00926,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,3847.24,0.48971,0.19822,0.01244,0.97447,0.98996,0.98733,0.91415,0.36711,0.18491,0.00884,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,3922.62,0.48084,0.19495,0.0122,0.97128,0.98893,0.988,0.9118,0.36421,0.18845,0.00873,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
